recette,EPI_TH,RTO_TEMP,SUBDOE,PO2,TPS,wafer,site,meas_box,box,si,sige,xge,oxide,gof
bilayer si/sige,60,1050,RTO,560,80,9,8,SIMS,252.117,78.929,30.14,21.9215,100.307,0.69926
bilayer si/sige,60,1050,RTO,560,80,9,8,TBOX7,250.536,45.161,57.234,17.9018,108.295,0.6999
bilayer si/sige,60,1050,RTO,560,80,9,9,SIMS,249.243,80.173,33.522,22.5563,101.219,0.67359
bilayer si/sige,60,1050,RTO,560,80,9,9,TBOX7,248.457,45.915,61.155,18.1392,108.609,0.71622
bilayer si/sige,60,1050,RTO,200,10.42597115,10,1,SIMS,246.835,113.075,16.108,34.1796,71.5,0.60994
bilayer si/sige,60,1050,RTO,200,10.42597115,10,1,TBOX7,247.66,95.08,45.617,24.0213,43.092,0.79533
bilayer si/sige,60,1050,RTO,200,10.42597115,10,2,SIMS,247.919,113.441,16.293,34.1527,71.329,0.60224
bilayer si/sige,60,1050,RTO,200,10.42597115,10,2,TBOX7,249.183,96.008,46.776,23.9363,43.178,0.79655
bilayer si/sige,60,1050,RTO,200,10.42597115,10,3,SIMS,247.616,112.241,15.911,34.1857,70.859,0.60718
bilayer si/sige,60,1050,RTO,200,10.42597115,10,3,TBOX7,249.807,95.14,46.089,23.8252,43.058,0.79792
bilayer si/sige,60,1050,RTO,200,10.42597115,10,4,SIMS,246.317,112.765,16.197,34.1565,70.992,0.61156
bilayer si/sige,60,1050,RTO,200,10.42597115,10,4,TBOX7,247.837,94.512,45.906,24.014,43.311,0.79079
bilayer si/sige,60,1050,RTO,200,10.42597115,10,5,SIMS,247.619,110.417,16.52,34.1727,71.206,0.59501
bilayer si/sige,60,1050,RTO,200,10.42597115,10,5,TBOX7,249.456,92.786,46.248,23.8423,43.033,0.79375
bilayer si/sige,60,1050,RTO,200,10.42597115,10,6,SIMS,249.775,114.364,14.532,33.7613,71.019,0.63724
bilayer si/sige,60,1050,RTO,200,10.42597115,10,6,TBOX7,250.357,95.244,46.678,23.6907,43.254,0.8005
bilayer si/sige,60,1050,RTO,200,10.42597115,10,7,TBOX7,250.319,93.998,41.654,23.531,43.234,0.79684
bilayer si/sige,60,1050,RTO,200,10.42597115,10,8,SIMS,249.539,110.346,14.384,33.6719,70.646,0.63591
bilayer si/sige,60,1050,RTO,200,10.42597115,10,8,TBOX7,250.541,95.678,39.645,23.4656,43.097,0.79612
bilayer si/sige,60,1050,RTO,200,10.42597115,10,9,SIMS,246.317,112.233,16.487,34.2239,71.659,0.59463
bilayer si/sige,60,1050,RTO,200,10.42597115,10,9,TBOX7,248.961,95.872,42.49,23.6683,43.25,0.79761
bilayer si/sige,60,1050,RTO,560,10.42597115,11,1,SIMS,250.77,112.927,15.743,34.7103,76.943,0.63962
bilayer si/sige,60,1050,RTO,560,10.42597115,11,1,TBOX7,251.259,94.239,43.846,24.7709,56.433,0.74632
bilayer si/sige,60,1050,RTO,560,10.42597115,11,2,SIMS,249.923,110.094,16.249,34.6453,77.015,0.6245
bilayer si/sige,60,1050,RTO,560,10.42597115,11,2,TBOX7,251.638,99.365,37.975,27.9316,55.883,0.75292
bilayer si/sige,60,1050,RTO,560,10.42597115,11,3,SIMS,250.619,113.192,15.847,34.6933,76.85,0.63798
bilayer si/sige,60,1050,RTO,560,10.42597115,11,3,TBOX7,251.101,94.288,43.949,24.8463,56.595,0.7441
bilayer si/sige,60,1050,RTO,560,10.42597115,11,4,SIMS,250.934,109.775,15.129,34.3533,76.303,0.64935
bilayer si/sige,60,1050,RTO,560,10.42597115,11,4,TBOX7,250.929,92.941,39.659,24.6877,56.278,0.74628
bilayer si/sige,60,1050,RTO,560,10.42597115,11,5,SIMS,250.751,109.049,14.915,34.1101,76.472,0.6567
bilayer si/sige,60,1050,RTO,560,10.42597115,11,5,TBOX7,251.265,91.143,43.608,24.7697,56.536,0.74346
bilayer si/sige,60,1050,RTO,560,10.42597115,11,6,SIMS,250.813,106.964,15.238,34.2319,75.933,0.64754
bilayer si/sige,60,1050,RTO,560,10.42597115,11,6,TBOX7,250.814,90.037,42.463,24.927,56.217,0.73555
bilayer si/sige,60,1050,RTO,560,10.42597115,11,7,SIMS,250.179,110.283,16.483,34.7706,77.624,0.61651
